"TV","SPEAKER","GENDER","AGE","REGION"
"vous","F04L","female",25,"paris"
"vous","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04L","female",25,"paris"
"tu","F04R","female",25,"paris"
"tu","F04R","female",25,"paris"
"tu","F04R","female",25,"paris"
