PHONEME,F1,F2,F3,SPEAKER
@,542.617527911804,1560.11986637462,2926.62108193171,coulson
i,268.261225225689,1562.25377236194,3178.90884295031,coulson
2,447.012618899212,1638.37920616163,2010.84146559608,coulson
E,409.388646274011,1837.10450187812,2421.11012999357,coulson
2,425.168956738392,1782.33352910917,2833.0227045006,coulson
y,449.200549369308,1482.17773823886,2592.07875697692,coulson
U~/,341.30464195646,1766.84649147949,2794.51922670805,coulson
U~/,1499.03006441943,1994.53364852459,3660.8232882964,coulson
U~/,357.571696913579,1609.9292076599,2501.78203226338,coulson
E,1156.47938595725,2066.21649097208,3502.92403132957,coulson
i,315.745265259627,2036.91259868442,3273.44273175533,coulson
@,422.51432130531,2163.2573290119,2875.111670028,coulson
O~,248.028961566099,1202.96836916877,2414.99085278318,coulson
@,283.420419218644,1271.6420948375,2535.64061083159,coulson
i,306.955141968121,1775.63022179441,3392.82461430603,coulson
@,372.983889868466,1800.34059668175,2362.57989301144,coulson
A/,480.087386958971,1349.11915958692,2407.03159048389,coulson
@,399.395289113288,1801.14905020581,2667.99887672827,coulson
2,377.71719739468,1780.87217673467,3022.22560906241,coulson
E,397.532506066908,1993.59789785707,2782.93527589237,coulson
i,549.663621156766,2051.87642689321,3603.7763821843,coulson
U~/,472.347740754347,2259.802115832,2895.77829705712,coulson
i,325.443616632431,2184.15888142074,3296.32364166758,coulson
@,419.046834061584,2100.61553791735,2220.97303786471,coulson
A/,325.043893639499,1294.39271269555,2520.84840168093,coulson
A/,407.586347463058,1001.42384389564,2406.47791178469,coulson
u,269.087457384402,880.117406497643,2534.25750633813,coulson
2,476.550049379406,1717.78705866895,3176.05395366867,coulson
E,641.521584065209,1951.9278067951,2970.62423658395,coulson
i,350.133557596569,2192.47407804684,3042.46247022384,coulson
i,326.614898123323,2324.56398663754,2977.56608840542,coulson
i,415.544468141253,1970.39072555076,2501.55813550575,coulson
@,429.044608446589,2084.05304893503,2606.22138696178,coulson
E,412.999304030251,2045.32648667816,2965.37963490962,coulson
E,630.226428147129,1149.02565442935,2501.39978935764,coulson
e,418.704957916924,2085.29756330634,2707.25064988057,coulson
e,387.518002368402,1965.58802409229,2790.57146591595,coulson
y,401.311518969982,1721.99928548329,2475.5326413816,coulson
E,388.353501453494,1916.01483371242,3044.15022402254,coulson
y,333.606524010558,1804.59817663568,2399.82460822554,coulson
O/,387.016243672656,1369.98192170469,2134.34872378003,coulson
E,445.328530100864,1518.90160856037,2237.4853764034,coulson
e,399.446052181412,1929.82245969313,2727.62848372236,coulson
u,331.444465879477,1680.5377741122,2333.08100221992,coulson
u,361.731135417732,1459.37494607027,2807.36719978953,coulson
A/,421.756952769274,1082.69556872255,2378.44260563583,coulson
a~,633.899385784151,1097.50931044924,2252.74178921238,coulson
A/,520.197976156988,910.842182014566,2401.6260403514,coulson
A/,897.131662530821,2148.2468236598,2309.59475075666,coulson
A/,495.034585312307,1653.29606045776,2322.98225103844,coulson
e,508.272049024363,1540.45983435992,2503.48830628854,coulson
e,414.087815319684,1682.77794535586,2366.2419923353,coulson
E,635.60866915141,1366.11671854243,2601.40515233253,coulson
y,603.990905761685,1470.25817448514,2361.04846586919,coulson
e,374.470648335421,1784.20084441507,2897.13458859711,coulson
